Scene No,Character1,Narrative,Character2
46,Harry,That's horrible.,Hagrid
46,Ron,It's disgusting!,Ron
46,Hagrid,"An' it's codswallop ter boot.
 Dirty blood. There's 'ardly a
 wizard today that's not half-blood
 or less. If we 'adn't married
 Muggles we'd've died out long ago.
 Besides, they haven't invented a
 spell our Hermione can't do...
 Don' you think on it, Hermione.
 Don' you think on it fer a minute.",Hermione
49,GILDEROY LOCKHART,"Harry, Harry, Harry... Can you
 possibly imagine a better way to
 serve detention than by helping me
 answer my fan mail?",Harry
49,GILDEROY LOCKHART,"Fame's a fickle friend, Harry.
 Celebrity is as celebrity does.
 Remember that.",Harry
49,Harry,What?,Harry
49,GILDEROY LOCKHART,"I was saying, six solid months at
 the top of the bestseller list!
 Broke all records!",Harry
49,GILDEROY LOCKHART,"No... not you, that... voice.",GILDEROY LOCKHART
49,GILDEROY LOCKHART,Voice?,Harry
49,Harry,"That... voice. Didn't you hear
 it?",GILDEROY LOCKHART
49,GILDEROY LOCKHART,"What are you talking about, Harry?
 I think we're getting a bit
 drowsy. Great Scott -- and no
 wonder -- look at the time! We've
 been here nearly four hours!
 Dinner's nearly done! If you
 hurry you might make pudding.
 Spooky how the time flies when
 one's having fun!",Harry
49,Harry,Spooky.,GILDEROY LOCKHART
49,Hermione,Harry!,Harry
49,Harry,Did you hear it?,Hermione
49,Harry,Did you hear it?,Ron
49,Ron,Hear what?,Harry
49,Harry,That... voice.,Ron
49,Hermione,Voice? What voice?,Harry
49,Harry,"I heard it first in Lockhart's
 office and then again, just -VOICE
 Kill... Time to kill...",Hermione
49,Harry,"I heard it first in Lockhart's
 office and then again, just -VOICE
 Kill... Time to kill...",Ron
49,Harry,"It's moving.
 to... kill. I think it's going",Hermione
49,Harry,"It's moving.
 to... kill. I think it's going",Ron
59,Ron,"Harry, what are you doing?",Harry
59,Ron,What's that? Hanging underneath?,Harry
59,Harry,"That's Filch's cat.
 Mrs. Norris.",Ron
59,Hermione,"Look at that. Have you ever seen
 spiders act like that? Ron...?",Ron
59,Ron,I... don't... like... spiders.,Hermione
59,Draco Malfoy,"Enemies of the heir, beware! You'll be next, Mudbloods!",Hermione
59,Draco Malfoy,"Enemies of the heir, beware! You'll be next, Mudbloods!",Ron
59,Argus Filch,"What's going on here? Go on now!
 Make way...
 Mrs. Norris!
 You! You've murdered my cat!
 I'll kill you! I'll",Harry
59,Dumbledore,Argus!,Everyone
59,Dumbledore,"Everyone will proceed to their
 dormitories immediately.
 Everyone except you three.",Everyone
59,GILDEROY LOCKHART,"It was definitely a curse that
 killed her -- probably the
 Transmogrifian Torture.
 Encountered it myself once, in
 Ouagadougou. The full story's in
 my autobiography...",Dumbledore
59,Dumbledore,"She's not dead, Argus. She's been
 Petrified.",GILDEROY LOCKHART
59,GILDEROY LOCKHART,"Precisely! So unlucky I wasn't
 there. I know the very
 countercurse that could have
 spared her...",Dumbledore
59,Dumbledore,"But how she's been Petrified... I
 cannot say.",Argus Filch
59,Argus Filch,"Ask him! It's him that's done it.
 You saw what he wrote on the wall!
 Besides, he knows I'm -- I'm a
 Squib.",Dumbledore
59,Harry,"It's not true, sir! I swear! I
 never touched Mrs. Norris -- And I
 don't even know what a Squib is.",Dumbledore
59,Argus Filch,"Rubbish!
 letter!
 
 He saw my Kwikspell",Dumbledore
59,Snape,"If I might, Headmaster...",Everyone
59,snape,"Perhaps Potter and his friends
 were simply in the wrong place at
 the wrong time...",GILDEROY LOCKHART
59,Snape,"However, the circumstances are
 suspicious. I, for one, don't
 recall seeing Potter at dinner",GILDEROY LOCKHART
59,GILDEROY LOCKHART,"I'm afraid that's my doing,
 Severus. You see, Harry was
 helping me answer my fan mail...",Snape
59,Hermione,"That's why Ron and I went looking
 
 for him, Professor. We'd just
 found him when Harry said...",Snape
59,Snape,"Yes, Miss Granger?",Hermione
59,Harry,"When I said I wasn't hungry. We
 were heading back to the Common
 Room and... found Mrs. Norris.",Snape
59,Snape,Innocent until proven guilty.,Argus Filch
59,Argus Filch,My cat has been Petrified! I want to see some punishment!,Snape
59,Dumbledore,"We will be able to cure her,
 Argus. As I understand it, Madam
 Sprout has a very healthy growth
 of Mandrakes. When they have
 matured, a potion will be made
 which will revive Mrs. Norris. In
 the meantime, I advise caution.
 To all.",Argus Filch
60,Ron,"A Squib's someone who's born into
 a wizarding family but hasn't got
 any powers of their own. It's why
 Filch is trying to learn magic
 from a Kwikspell course. It's
 also why he hates students so
 much. He's bitter.",Hermione
60,Hermione,"Harry. This voice.
 You said you
 heard it first in Lockhart's
 office?",Harry
60,Harry,Yes.,Hermione
60,Hermione,And did he hear it?,Harry
60,Harry,He said he didn't.,Hermione
60,Ron,Maybe he was lying.,Harry
60,Hermione,"I hardly think someone with
 Gilderoy Lockhart's credentials
 would lie to one of his students,
 Ronald. Besides, if you recall,
 we didn't hear anything either.",Ron
60,Harry,"You do believe me, don't you?",Hermione
60,Hermione,"Course we do. It's just... it's
 a bit weird, isn't it? You hear
 this voice and then... Mrs. Norris
 turns up Petrified.",Harry
60,Harry,"I can't explain it -- it was...
 scary. D'you think I should've told them
 -- Dumbledore and the others, I mean.",Hermione
60,Ron,Are you mad!,Harry
60,Hermione,"No, Harry. Even in the wizarding
 world, hearing voices isn't a good
 sign.",Harry
62,McGONAGALL,"Today, we will be turning animals  into water goblets.   She taps the bird in front of her, three times, with the tip of her wand. It transfigures into a beautiful crystal water   goblet.   ",Everyone
62,McGONAGALL,Now who would like to go first.,Everyone
62,McGONAGALL,Mr. Weasley?,Ron
62,McGONAGALL,"You must replace that wand, Mr. Weasley.",Ron
62,McGONAGALL,Yes? Ms. Granger?,Hermione
62,Hermione,"Professor, I was wondering if you could tell us about the Chamber of Secrets?",McGONAGALL
62,McGONAGALL,"My subject is Transfiguration, Ms. Granger",Hermione
62,Hermione," Yes, Professor. But there seems   to be very little written about the Chamber of Secrets. For those   of us with a personal interest in  the subject, that is...disturbing",McGONAGALL
62,McGONAGALL,"Very well. You all know, of  course, that Hogwarts was founded   over a thousand years ago by the  four greatest witches and wizards  of the age.  Godric Gryffindor, Helga Hufflepuff, Rowena Ravenclaw, and Salazar Slytherin. Three of the founders co-existed quite harmoniously. One did not.",Everyone
62,Ron,Three glasses who?,McGONAGALL
62,McGONAGALL,"According to legend, Slytherin had
 built a hidden chamber in this
 castle, known as the Chamber of
 Secrets. Shortly before
 departing, he sealed it until that
 time when his own true heir
 returned to the school. The heir
 alone would be able to open the
 Chamber of Secrets and unleash the
 horror within, and by so doing,
 purge the school of all those who,
 in Slytherin's view, were unworthy
 to study magic.",Everyone
62,Hermione,Muggle-borns.,McGONAGALL
62,McGONAGALL,"Yes. Naturally, the school has been searched many times for such a chamber. It has never been found.",Everyone
62,Hermione,"Professor, what exactly does legend tell us lies within the Chamber?",McGONAGALL
62,McGONAGALL,The Chamber is said to be home to something which the heir of Slytherin alone can control. It is said to be home... to a monster.,Everyone
63,Ron,D'you think it's true? D'you think there really is a Chamber of Secrets?,Harry
63,Ron,D'you think it's true? D'you think there really is a Chamber of Secrets?,Hermione
63,Hermione,Yes. Couldn't you tell: McGonagall's worried. All the teachers are.,Ron
63,Harry,"But if there really is a Chamber of Secrets, and it's really been opened, that means...",Hermione
63,Harry,"But if there really is a Chamber of Secrets, and it's really been opened, that means...",Ron
63,Hermione,"The Heir of Slytherin has returned to Hogwarts. The question is, who is it?",Ron
63,Hermione,"The Heir of Slytherin has returned to Hogwarts. The question is, who is it?",Harry
63,Ron,"Let's think. Who do we know who
 thinks Muggle-borns are scum.",Hermione
63,Hermione,If you're talking about him --,Ron
63,Ron,"Of course! You heard him:'You'll be next, Mudbloods'!",Hermione
63,Hermione,I heard him. But Malfoy? Heir of Slytherin?,Ron
63,Harry,"Maybe Ron's right, Hermione. I mean, look at his family. The whole lot of them have been in Slytherin for centuries.",Hermione
63,Ron,Crabbe and Goyle must know.we could trick them into telling...,Harry
63,Ron,Crabbe and Goyle must know.we could trick them into telling...,Hermione
63,Hermione,"No. Even they aren't that thick. But there might be another way.Mind you, it would be difficult. Not to mention we'd be breaking about fifty school rules. And it would be dangerous. Very dangerous.",Ron
63,Ron,When do we start?,Hermione
64,Hermione,"Here it is: 'The Polyjuice Potion. Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another...'",Ron
64,Hermione,"Here it is: 'The Polyjuice Potion. Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another...'",Harry
64,Ron,"You mean, Harry and I drink some of this stuff and we turn into Crabbe and Goyle?",Hermione
64,Hermione,Yes,Ron
64,Ron,Wicked! Malfoy'll tell us anything!,Hermione
64,Hermione,"Exactly. But it's tricky. I've never seen a more complicated potion. Lacewing flies, leeches, fluxweed. And, of course, we'll need a bit of whoever we want to change into too.",Ron
64,Ron,Hang on now. I'm drinking nothing with Crabbe's toenails in it.,Hermione
64,Harry,How long will it take to make?,Hermione
64,Hermione,A month.,Harry
64,Harry,A month? But if Malfoy is the heir of Slytherin... he could attack half the Muggle-borns in the school by then.,Hermione
64,Hermione,You didn't have to tell me that.,Harry
65,Draco Malfoy,"All right there, Scarhead?",Harry
65,George Weasley,HARRY! WATCH OUT!,Harry
65,Hagrid,"Blimey, Harry's got 'imself a Rogue Bludger!",Ron
65,Hagrid,"Blimey, Harry's got 'imself a Rogue Bludger!",Hermione
65,Ron,Rogue Bludger?,Hagrid
65,Hagrid,Look fer yerself! It's bin' tampered with!,Ron
65,Hermione,"You're joking, right? Besides, even with a proper wand, it's too risky. You could hit Harry.",Ron
65,Draco Malfoy,"Training for the ballet, Potter?",Harry
65,Gilderoy Lockhart,"Not to worry, Harry. I'll fix that arm of yours straight away.",Harry
65,Harry,No... no... not you.,Gilderoy Lockhart
65,Gilderoy Lockhart,Poor boy doesn't know what he'ssaying. This won't hurt a bit...,Ron
65,Gilderoy Lockhart,Poor boy doesn't know what he'ssaying. This won't hurt a bit...,Hermione
65,Gilderoy Lockhart,Poor boy doesn't know what he'ssaying. This won't hurt a bit...,Hagrid
65,Gilderoy Lockhart,"Ah. Yes. Well, that cansometimes happen. The point is,the bones are no longer broken.",Ron
65,Gilderoy Lockhart,"Ah. Yes. Well, that cansometimes happen. The point is,the bones are no longer broken.",Hermione
65,Gilderoy Lockhart,"Ah. Yes. Well, that cansometimes happen. The point is,the bones are no longer broken.",Hagrid
65,Hagrid,Brok'n? He doesn't 'ave any bones at all!,Gilderoy Lockhart
65,MADAM POMFREY,"He should have been brought
 straight to me! I can mend bones
 in a heartbeat -- but growing them
 back --",Ron
65,MADAM POMFREY,He should have been brought straight to me! I can mend bones in a heartbeat -- but growing them back --,Hermione
65,Hermione,"You will be able to, won't you?",MADAM POMFREY
65,MADAM POMFREY,I'll certainly be able to but it will be painful,Hermione
65,MADAM POMFREY,"You're in for a rough night, Potter. Regrowing bones is a nasty buisness",Harry
66,Colin Creavley,"That was brilliant today, Harry! Brilliant!",Harry
66,MADAM POMFREY,Out! All of you! This boy's got thirty-three bones to regrow!,Colin Creavley
66,MADAM POMFREY,Out! All of you! This boy's got thirty-three bones to regrow!,Hermione
66,MADAM POMFREY,Out! All of you! This boy's got thirty-three bones to regrow!,Ron
67,Harry,Dobby!,Dobby
67,Dobby,Harry Potter came back to school. Dobby warned him. Harry Potter should have listened to Dobby. Harry Potter should have gone back home when he missed the train.,Harry
67,Harry,It was you! You stopped the barrier from letting Ron and me,Dobby
67,Dobby,"Indeed yes, sir. Dobby hid and watched for Harry Potter and sealed the gateway.",Harry
67,Harry,You nearly got Ron and me expelled!,Dobby
67,Dobby,At least you would be away from here. Harry Potter must go home! Dobby thought his Bludger would be enough to make Harry Potter see,Harry
67,Harry,Your Bludger? You made that Bludger chase after me?,Dobby
67,Dobby,"Dobby feels most aggrieved, sir. Dobby had to iron his hands...",Harry
67,Harry,"You'd better clear off before my bones come back, Dobby, or I might strangle you!",Dobby
67,Dobby,"Dobby is used to death threats,sir. Dobby gets them five times a day at home.",Harry
67,Harry,I don't suppose you could tell me why you're trying to kill me?,Dobby
67,Dobby,"Not kill you, sir, never kill you! Dobby remembers how it was before Harry Potter triumphed over He Who Must Not Be Named. We house elves were treated like vermin, sir. Of course, Dobby is still treated like vermin...",Harry
67,Harry,"Why do you wear that thing, Dobby?",Dobby
67,Dobby,"This, sir? 'Tis a mark of thehouse elf's enslavement. Dobby can only be freed if his master presents him with clothes. The presents him with clothes. The family is careful not to pass Dobby so much as a sock, sir, for then he would be free to leave their house forever.",Harry
67,Dobby,Terrible things are about to happen at Hogwarts! Harry Potter must not stay here now that history is to repeat itself!,Harry
67,Harry,"Repeat itself? You mean, this has happen before? Who's doing it now?",Dobby
67,Harry,"Tell me, Dobby? When did this happen before? Who's doing it now?",Dobby
67,Dobby,"Dobby cannot say, sir. Dobby only wants Harry Potter to be safe.",Harry
67,Harry,"Who is it? No, Dobby! Tell me!",Dobby
67,MADAM POMFREY,What's happened?,Dumbledore
67,Dumbledore,There's been another attack.,MADAM POMFREY
67,McGONAGALL,"What does this mean, Albus?",Dumbledore
67,Dumbledore,"It means our students are in great danger, Minerva. Mr. Creevey was fortunate. If not for this... He would surely be dead.",McGONAGALL
67,McGONAGALL,"What should I tell the staff, Albus?",Dumbledore
67,Dumbledore,Tell them the truth. Tell them Hogwarts is no longer safe. Tell them it's as we feared. The Chamber of Secrets is indeed open again.,McGONAGALL
69,Hermione,"Again? You mean, the Chamber of Secrets has been opened before?",Ron
69,Hermione,"Again? You mean, the Chamber of Secrets has been opened before?",Harry
69,Ron,"Of course! Don't you see? Lucius Malfoy must've opened it when he was at school here, and now he's told Draco how to do it.",Hermione
69,Hermione,Maybe. We'll have to wait for the Polyjuice Potion to know for sure.,Ron
69,Ron,"Enlighten me. Why are we brewing this potion in broad daylight, in the middle of a girls' lavatory? Don't you think we'll get caught?",Hermione
69,Hermione,Never. No one ever comes here.,Ron
69,Ron,Why,Hermione
69,Hermione,Moaning Myrtle,Ron
69,Ron,Who's Moaning Myrtle,Hermione
69,Moaning Myrtle,"I'm Moaning Myrtle. I wouldn't expect you to know me. Who would ever talk about fat, ugly, miserable, moping, moaning Myrtle?",Ron
69,Hermione,She's a little sensitie,Ron
70,Gilderoy Lockhart,"Gather round! Gather round! Can  everyone see me? Can you all hear me? Excellent. In light of the  dark events of recent weeks,   Professor Dumbledore has granted  me permission to start this little  Dueling Club, to train you all up  in case you ever need to defend yourselves as I myself have done on countless occasions -- for full details, see my published works",Everyone
70,Justin Fletchy,"That Lockhart's something, isn'the? Awfully brave chap.he? Awfully brave chap.",Harry
70,Justin Fletchy,Justin Finch-Fletchley.Hufflepuff.,Harry
70,Harry,Nice to meet you. I'm,Justin Flectchy
70,Justin Fletchy,I know who you are. We all do. Even us Muggleborns,Harry
70,Gilderoy Lockhart,One. Two. Threee,Snape
70,Snape,Expelliarmus!,Spell
70,Snape,Expelliarmus!,Gilderoy Lockhart
70,Hermione,Do you think he is alright?,Ron
70,Hermione,Do you think he is alright?,Harry
70,Ron,Who cares?,Hermione
70,Harry,Who cares?,Hermione
70,Gilderoy Lockhart,Ah. Thank you Ms. Granger,Hermione
70,Gilderoy Lockhart,"An excellent idea to show them that, Professor Snape, but if you that, Professor Snape, but if you don't mind my saying so, it was very obvious what you were aboutto do. If I had wanted to stopyou it would have been only too",Snape
70,Snape,"Perhaps it would be prudent to first teach the students to block unfriendly spells, Professor.",Gilderoy Lockhart
70,Gilderoy Lockhart,"An excellent suggestion, Professor Snape.",Snape
70,Gilderoy Lockhart,Let's have a volunteer pair?,Everyone
70,Gilderoy Lockhart,Potter,Harry
70,Gilderoy Lockhart,"Weasley, how about you?",Ron
70,Snape,"Weasley's wand causes devastation with the simplest spells. We'll be sending Potter to the hospital wing in a matchbox. Might I suggest someone from my own house. Malfoy, perhaps.",Gilderoy Lockhart
70,Draco Malfoy,"Scared, Potter?",Harry
70,Harry,You wish,Draco Malfoy
70,Gilderoy Lockhart,"Wands at the ready! When I count to three, cast your charms to disarm your opponent -- only to disarm. We don't want any accidents. One, two",Harry
70,Gilderoy Lockhart,"Wands at the ready! When I count to three, cast your charms to disarm your opponent -- only to disarm. We don't want any accidents. One, two",Draco Malfoy
70,Harry,Rictusempra!,Spell
70,Harry,Rictusempra!,Draco Malfoy
70,Gilderoy Lockhart,I said disarm only!,Harry
70,Draco Malfoy,Serpensortia!,Spell
70,Draco Malfoy,Serpensortia!,Harry
70,Snape,"Don't move, Potter. I'll get rid of it for you",Harry
70,Gilderoy Lockhart,Allow me!,Snape
70,Ron,Come on. Move. Now.,Harry
71,Ron,You're a Parselmouth! Why didn't you tell us?,Harry
71,Harry,I'm a what?,Ron
71,Hermione,You can talk to snakes.,Harry
71,Harry,"I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. But so what? I bet loads of people here can do it.",Hermione
71,Hermione,"No. They can’t. It's not a very common gift. This is bad, Harry.",Harry
71,Harry,What's bad? If I hadn't told that snake not to attack Justin,Hermione
71,Ron,Oh that's what you said to it,Harry
71,Harry,You were there! You heard me!,Ron
71,Ron,I heard you speaking Parseltongue. Snake Language,Harry
71,Harry,I spoke a different language? But I didn't realize -- how can I speak a language without knowing I can?,Ron
71,Hermione,"I don't know, Harry. But it sounded like you were egging the snake on or something. It was... creepy.",Harry
71,Hermione,"Harry, listen out me. There's a reason the symbol of Slytherin house is a serpent. Salazar Slytherin was a Parselmouth. He could talk to snakes too.",Harry
71,Ron,Exactly. And now the wholeschool's going to think you're his great-great-great grandson or something.,Harry
71,Harry,But I'm not. I can't be.,Ron
71,Hermione,He lived thousand of years ago. For all we know..you could be,Harry
73,Ernie,"So, anyway, I told Justin to hideup in our dormitory. I mean to say, if Potter's marked him down as his next victim, it's best he keep a low profile for a while.",Hannah
73,Hannah,But why would he want to attack Justin?,Ernie
73,Ernie,Justin let it slip to Potter that he was a muggleborn,Hannah
73,Hannah,You think Potter's the Heir of Slytherin?,Ernie
73,Ernie,"Hannah, he's a Parselmouth.Everyone knows that's the mark ofa dark wizard. Have you ever heard of a decent one who could talk to snakes? They called Slytherin himself Serpent-tongue.",Hannah
73,Ernie,"Remember what was written on thewall: Enemies of the Heir Beware. Potter had some sort of run-in with Filch. Next thing we know, Filch's cat's attacked. That first-year Creevey's been annoying Potter. Then Creevey's attacked.",Hannah
73,Hannah,"He always seems so nice, though.And, after all, he is the one who made You Know Who disappear.",Ernie
73,Ernie,That's probably why You Know Who wanted to kill him in the first place. Didn't want another Dark Lord competing with him.,Hannah
74,Hagrid,"All righ', Harry?",Harry
74,Harry,Hagrid... what're you doing here?,Hagrid
74,Hagrid,"Second one killed this term. Reckon it's either foxes or a Blood-Suckin' Bugbear. Need Dumbledore's permission ter put acharm round the hen-coop. Yeh sure yeh're all righ', Harry? Yeh look all hot an' bothered.",Harry
74,Harry,It’s nothing. I better get going. I got a lot of studying..,Hagrid
75,Harry,"Professor, I didn't! I swear I didn't",McGONAGALL
75,McGONAGALL,"This is out of my hands, Potter",Harry
75,McGONAGALL,"Mr. Filch, will you take care of this please?",Argus Filch
75,Argus Filch,"Caught in the act. I'll have you out this time, Potter. Mark my words..",Harry
75,Argus Filch,"Dark magic. That's what you've got, Potter. Even the air you breathe comes out poison. You're evil. Evil as they come...",Harry
76,McGONAGALL,Professor Dumbledore will be waiting for you,Harry
76,Harry,"Professor, your bird... I couldn't do anything... He just caught fire.",Dumbledore
76,Dumbledore,About time too. He's been looking dreadful for days. Pity you had to see him on a Burning Day. He'sreally very handsome most of the time.,Harry
76,Dumbledore,"Fawkes is a phoenix, Harry. Phoenixes burst into flame when it is time for them to die and are reborn from the ashes.",Harry
76,Dumbledore,"Fascinating creatures, phoenixes.They can carry immensely heavy loads, their tears have healing powers, and they make highly faithful pets.",Harry
76,Hagrid,"It wasn't Harry, Professor Dumbledore!",Dumbledore
77,Dumbledore,Hagrid,Hagrid
77,Hagrid,I'll swear ter it in front o' the Ministry o' Magic,Dumbledore
77,Dumbledore,HAGRID! I do not think that Harry has attacked anyone.,Hagrid
77,Hagrid,Oh. Right. Then. I'll wait outside,Dumbledore
77,Harry,"You don’t think it was me, Professor?",Dumbledore
77,Dumbledore,"No, Harry. But I must ask you...is there anything you'd like to tell me. Anything at all?",Harry
77,Harry,No. Professor. Nothing,Dumbledore
78,Ron,"Oh, c'mon, Harry.",Harry
78,Harry,Fred's just.. He's the only one now,Ron
78,Ron,"Okay, so half the school thinks you're nipping off to the Chamber of Secrets every night. Who cares?",Harry
78,Harry,Maybe they're right,Ron
78,Hermione,Harry!,Harry
78,Harry,I didn't know I could speak Parseltongue. What else don't I know about myself? Maybe you can do something... even something horrible... and not know you did it.,Hermione
78,Hermione,"You don't believe that, Harry, I know you don't. And if it makes you feel better, I just heard Malfoy's staying over for holiday, too.",Harry
78,Ron,Why would that make anyone feel better?,Hermione
78,Hermione,"Because, in a few days, the Polyjuice Potion's will be ready.In a few days... we may truly know who is the Heir of Slytherin.",Ron
78,Hermione,Everything's set. We just need a bit of who you're changing into.,Harry
78,Harry,Crabbe and Goyle,Hermione
78,Hermione,And we can't have the real Crabbe and Goyle burst in on us while we are interrogating Malfoy,Harry
78,Ron,How?,Hermione
78,Hermione,I got it all worked out. I've filled these with a simple sleeping Draught. Simple but powerful.,Ron
78,Hermione,You know how greedy Crabbe and Goyle are. They won't leave the Christmas Feast until every last drop of trifle is gone.,Ron
79,Hermione,"Now, once they're asleep, hide them in a broom cupboard and pull out a few of their hairs.",Ron
79,Ron,And whose hair are you ripping out?,Hermione
79,Hermione,I've got mine.,Ron
79,Ron,Have you ever heard of a plan where so many things can go wrong?,Harry
81,Hermione,Did you get it?,Harry
81,Hermione,Did you get it?,Ron
81,Hermione,I sneaked those out of the laundry,Harry
81,Hermione,I sneaked those out of the laundry,Ron
81,Hermione,"I'm sure I've done everything right. It looks like the book said it should. Once we've drunk it, we'll have exactly one hour before we change back into ourselves.",Harry
81,Hermione,"I'm sure I've done everything right. It looks like the book said it should. Once we've drunk it, we'll have exactly one hour before we change back into ourselves.",Ron
81,Ron,Now what?,Hermione
81,Hermione,We separate it into three glasses and add the hairs,Ron
81,Hermione,We separate it into three glasses and add the hairs,Harry
81,Ron,Think I'm going to be sick',Hermione
81,Ron,Think I'm going to be sick',Harry
81,Ron,Harry?,Harry
81,Harry,Ron?,Ron
81,Ron,Bloody hell.,Harry
81,Harry,We sound like ourselves. You need to sound like Crabbe.,Ron
81,Ron,Bloody hell.,Harry
81,Harry,Lower,Ron
81,Ron,Bloody hell.,Harry
81,Harry,Less intelligent,Ron
81,Ron,Bloody hell.,Harry
81,Harry,Excellent,Ron
81,Ron,Hey..Where's Hermoine?,Harry
81,Hermione,I- I don't think I'm going. Go on without me,Ron
81,Hermione,I- I don't think I'm going. Go on without me,Harry
81,Harry,"You okay, Hermoine?",Hermione
81,Hermione,Just Go!,Harry
81,Hermione,Just Go!,Ron
83,Ron,Don't Swing your arms like that. Crabbe holds them sort of stiff.,Harry
83,Ron,Yeah. That's better,Harry
84,Ron,What are you doing here?,Percy Weasley
84,Ron,What are you doing here?,Percy Weasley
84,Percy Weasley,"I happen to be a prefect. You, on the other hand, have no business wandering the corridors at night. It's not safe these days.",Ron
84,Percy Weasley,What're your names again?,Ron
84,Percy Weasley,What're your names again?,Harry
84,Draco Malfoy,Crabbe. Goyle. Where have you been? Pigging out in the Great Hall all this time?,Harry
84,Draco Malfoy,Crabbe. Goyle. Where have you been? Pigging out in the Great Hall all this time?,Ron
84,Draco Malfoy,"And what are you doing around here, Weasley?",Percy Weasley
84,Percy Weasley,"Mind your attitude, Malfoy. You want to show a little bit more respect to a school prefect!",Draco Malfoy
84,Draco Malfoy,"Come on, boys. Weasley think he's going to catch Slytherin's hair single-handed.",Ron
84,Draco Malfoy,"Come on, boys. Weasley think he's going to catch Slytherin's hair single-handed.",Harry
86,Draco Malfoy,Listen to this...,Harry
86,Draco Malfoy,"Draco grabs The Daily Prophet, reads the front page.",Ron
86,Draco Malfoy,"Arthur Weasley, Head of the Misuse of Muggle Artefacts Office,was today fined fifty Galleons forbewitching a Muggle car. ""Weasley has brought the Ministry into disrepute,"" said Lucius Malfoy, a governor of Hogwarts. "" He is clearly unfit to draw up our laws and his ridiculous Muggle Protection Act should be scrapped immediately.""'",Harry
86,Draco Malfoy,"Arthur Weasley, Head of the Misuse of Muggle Artefacts Office,was today fined fifty Galleons forbewitching a Muggle car. ""Weasley has brought the Ministry into disrepute,"" said Lucius Malfoy, a governor of Hogwarts. "" He is clearly unfit to draw up our laws and his ridiculous Muggle Protection Act should be scrapped immediately.""'",Ron
86,Draco Malfoy,"Arthur Weasley loves Muggles so much he should snap his wand in half and go join them. You'd never know the Weasleys were pure bloods, the way they behave. Embarrassment to the wizarding world. All of them.",Harry
86,Draco Malfoy,"Arthur Weasley loves Muggles so much he should snap his wand in half and go join them. You'd never know the Weasleys were pure bloods, the way they behave. Embarrassment to the wizarding world. All of them.",Ron
86,Draco Malfoy,"What's up with you, Crabbe?",Ron
86,Ron,Stomachache.,Draco Malfoy
86,Draco Malfoy,"Well, go to the hospital wing and give all those Mudbloods a kickin the arse for me! You know, I'm surprised The Daily Prophet hasn'treported all these attacks yet. I suppose Dumbledore's trying to hushit all up. He'll be sacked if it doesn't stop soon. Father always said Dumbledore's the worst thingthat's ever happened to this place.",Ron
86,Draco Malfoy,"Well, go to the hospital wing and give all those Mudbloods a kickin the arse for me! You know, I'm surprised The Daily Prophet hasn'treported all these attacks yet. I suppose Dumbledore's trying to hushit all up. He'll be sacked if it doesn't stop soon. Father always said Dumbledore's the worst thingthat's ever happened to this place.",Harry
86,Harry,You're wrong!,Draco Malfoy
86,Draco Malfoy,What? Did you say that I was wrong? You think there's someonehere who's worse than Dumbledore?,Harry
86,Harry,Harry Potter.,Draco Malfoy
86,Draco Malfoy,"Good one, Goyle. You're absolutely right. Saint Potter.He's another one with no proper wizard feeling, or he wouldn't go around with that Mudblood Granger.And people actually think he's the Heir of Slytherin.",Harry
86,Harry,Then you must have some idea who's behind it all?,Draco Malfoy
86,Draco Malfoy,"You know I haven't, Goyle. How many times do I have to tell you? But my father did say this much: It's been fifty years since the Chamber was opened. He wouldn't tell me who opened it -- only that they were expelled -- but I knowthis: the last time the Chamber of Secrets was opened, a Mudblood died.",Harry
86,Draco Malfoy,So it's only a matter of time before one of them's killed this time. As for me... I hope it's Granger.,Harry
86,Draco Malfoy,So it's only a matter of time before one of them's killed this time. As for me... I hope it's Granger.,Ron
86,Draco Malfoy,What's the matter with you two? You're acting very..odd,Harry
86,Draco Malfoy,What's the matter with you two? You're acting very..odd,Ron
86,Draco Malfoy,Hey! Where are you going?,Harry
86,Draco Malfoy,Hey! Where are you going?,Ron
89,Ron,That was close!,Harry
89,Harry,Hermoine! Come out. We have loads to tell you.,Hermione
89,Hermione,Go away!,Harry
89,Moaning Myrtle,"Ooh, wait till you see. It's awful!",Harry
89,Hermione,Do you remember me telling you the Polyjuice Potion was only for human transformations...?,Harry
89,Hermione,It was cat hair I plucked off Millicent Bulstrode's robes! Look at my face!,Harry
89,Ron,Look at your tail!,Hermione
90,Ron,"Madam Pince asked that we relay amessage to you, Hermione: She'd appreciate it if you'd leave a fewbooks for the rest of the school.",Hermione
90,Hermione,"I've got to keep up, haven't I?",Ron
90,Hermione,Now. What about the Chamber of Secrets? Any new leads?,Ron
90,Hermione,Now. What about the Chamber of Secrets? Any new leads?,Harry
91,Harry,Nothing,Hermione
91,Hermione,And has it gotten any better? I mean... is anyone speaking to you?,Harry
91,Harry,Neville asked to borrow a tube worm in Potions yesterday. I suppose that's something.,Hermione
91,Ron,"To Miss Granger. Wishing you a speedy recovery, from your concerned teacher Gilderoy Lockhart.' You sleep with this under your pillow?",Hermione
